,id
313,1336152278802165761
314,1336712355116429313
315,1344287362843615234
316,1337367944075091969
317,1336815972162932737
318,1341557062946312192
319,1341739935829798913
320,1342900787178074112
321,1345090735163510786
322,1335769117379371008
323,1344306248389373962
324,1344013553657896960
325,1336344896274305025
326,1338085819215704064
327,1330731408818462720
328,1337734260292263937
329,1345161267598688256
330,1338284299632529408
331,1345361624035713025
332,1335802393959800832
333,1336072221714915329
334,1339113630915129347
335,1330651411047010305
336,1344274433746366464
337,1343715854408704002
338,1335740423420129281
339,1339111760540921856
340,1337025676956852224
341,1339603240019640323
342,1341660321329655809
343,1339782017399934976
344,1343057029049380865
345,1337570839806414849
346,1342029844176130049
347,1338400184846315520
348,1344835904796409856
349,1336359833013006341
350,1342875488834957313
351,1340865183078621187
352,1341016341600464898
353,1338566224301711368
354,1343671745304260609
355,1344829079988494336
356,1338960917837598720
357,1341572440615309315
358,1337593077821710336
359,1340716506603167744
360,1341150883246043136
361,1341891195400646656
362,1337592699717750784
363,1341906816532410369
364,1343893793154629632
365,1339401866904436737
366,1341282864676163586
367,1336710775969181696
368,1339709916899135490
369,1342690963022606336
370,1340093898320855040
371,1330666757447589888
372,1341129294374973442
373,1335940340872835075
374,1341621965501546497
375,1341540684105478146
376,1338048046618304512
377,1340951093321281536
378,1336034805943713792
379,1345395003238084609
380,1340538427717144577
381,1330623144487309313
382,1342625433666412544
383,1336525795246936064
384,1336365031357898757
385,1337797344373264386
386,1341204136533094403
387,1343718628504391680
388,1344886835349250049
389,1341158264239755264
390,1336603106524581889
391,1341618672503123968
392,1339745572815659011
393,1345428415529197568
394,1337562815108812801
395,1337055075764727808
396,1336368908207616001
397,1341060945339056128
398,1341930416236707841
399,1337078501329887233
400,1337499993264021505
401,1337853676992430080
402,1335657211587129348
403,1344741168710516736
404,1342080703526096898
405,1337949988706455555
406,1337673531681857538
407,1345427433621749767
408,1337230637435150338
409,1339873540191866880
410,1336851339138109440
411,1336152876972789760
412,1341578666711638017
413,1336169943524511749
414,1345860966035169281
415,1336734228575358977
416,1337330621551665154
417,1342749117823381504
418,1345220165307428866
419,1330580175461838849
420,1339780979393769472
421,1337854762037825536
422,1337556194706087938
423,1338466417746841601
424,1197689942396174336
425,1335649054924001281
426,1336697426007166978
427,1340345351333498881
428,1336357371115761671
429,1335660152872120322
430,1338280485261197312
431,1344045167658078210
432,1335703598815068160
433,1343734696002379777
434,1330561509576093696
435,1345187113919254532
436,1341595121377132544
437,1344737140517715969
438,1337053107121950722
439,1344007618583351297
440,1342658412602142722
441,1344776698689183750
442,1340669554222006272
443,1345749877989412864
444,1337070170800414721
445,1339018729099730947
446,1337619767360950272
447,1340521088275554305
448,1337600392247595009
449,1337460302279966722
450,1339091364739305473
451,1344025397478916096
452,1330640238016806913
453,1345840197704028167
454,1335955238679801856
455,1345166233394683905
456,1339030298894299139
457,1337620554971410434
458,1342545124740444164
459,1341089425128714242
460,1341115781933793280
461,1345863826818932738
462,1341059377827115012
463,1337413994294833156
464,1341604612923539458
465,1298245738187587584
466,1342056346091483141
467,1339457686794956801
468,1344053684343226370
469,1340942411896385536
470,1339842837932769280
471,1345542202731106304
472,1341740706587684865
473,1339370855902621697
474,1336090077160644608
475,1345797184495767552
476,1337217614255431688
477,1337558830092345346
478,1345015798562222080
479,1344274967295389696
480,1341903568333283328
481,1344917180379492353
482,1341770283791749123
483,1340713898983518208
484,1345403153202565122
485,1343797948090523649
486,1336234111682424836
487,1337720501511233536
488,1339425451282853888
489,1339903435672580098
490,1338129513310420994
491,1345014876830388225
492,1342933554913656832
493,1345518602087256066
494,1340952771655315456
495,1337695007785046019
496,1340783620726861832
497,1327726106309365760
498,1341097407736528896
499,1338987862126075904
500,1338203485427224576
501,1342891578965303300
502,1344098150064283648
503,1344782897023168519
504,1338140588961624065
505,1339438779136757764
506,1338247865114693634
507,1341202745194328064
508,1342803433603129345
509,1345070244360949761
510,1341562035956551680
511,1330652839899783168
512,1339945148474662914
513,1340908847867674624
514,1344821140955414529
515,1345435189154091017
516,1340304775137521665
517,1342904020751433728
518,1340502459739869184
519,1341009717905244163
520,1343188047295295490
521,1337069746072637441
522,1342903025841569792
523,1338218425160769538
524,1345489447589056512
525,1291526537280466945
526,1339095399932469248
527,1340712971941543936
528,1340126580337647616
529,1336501826384965632
530,1335585067469598721
531,1337382957028417537
532,1338391643410542597
533,1342876502946422787
534,1339312011650478085
535,1345557420274110464
536,1340021402041126913
537,1336814883799781377
538,1341521636571271169
539,1339620628463308800
540,1340090353802768390
541,1335983125147635714
542,1341887714262540288
543,1342733509853515777
544,1343992676102754304
545,1338318087024746496
546,1345233610501189632
547,1330549954784473098
548,1342111532621115392
549,1341164766795083776
550,1342745289006796802
551,1345879315146129408
552,1337789417789026315
553,1340109836416024578
554,1339345981926764544
555,1336263039771938820
556,1341146021448081410
557,1337936304194064384
558,1340821864172711940
559,1342559549723652098
560,1332415267515871233
